# modality	MAP	Prec@50	Acc
1	0.733	0.827	0.711
2	0.725	0.882	0.707
3	0.711	0.859	0.698
4	0.773	0.953	0.735
5	0.68	0.911	0.673
6	0.673	0.902	0.669
7	0.638	0.877	0.652
